almond biscotti,chewy salty sweet, https://smittenkitchen.com/2008/03/almond-biscotti/
almond rhubarb picnic bars,sweet tart summer,https://smittenkitchen.com/2016/05/almond-rhubarb-picnic-bars/,
apple pie cookies,holiday cute,https://smittenkitchen.com/2011/10/apple-pie-cookies/
austrian raspberry shortbread,satisfying as a butter cookie with raspberry,https://smittenkitchen.com/2007/12/austrian-raspberry-shortbread/
black and white cookies,New York City deli classic,https://smittenkitchen.com/2008/09/black-and-white-cookies/
brown butter brown sugar shorties,nutty browned butter dark brown sugar a pinch of salt a splash of vanilla,https://smittenkitchen.com/2008/12/brown-butter-brown-sugar-shorties/
cashew butter balls,tender buttery barely-sweet mounds,https://smittenkitchen.com/2012/12/cashew-butter-balls/
chewy amaretti cookies,sweet almond delicous,https://smittenkitchen.com/2009/04/chewy-amaretti-cookies/
chocolate pretzel cookies,salty sweet soft,https://smittenkitchen.com/2007/12/chocolate-pretzel-cookies/
crispy chewy chocolate chip cookies,chewy chocolate chip,https://smittenkitchen.com/2009/03/crispy-chewy-chocolate-chip-cookies/
dark chocolate coconut macaroons,fudgy salt crunchy,https://smittenkitchen.com/2014/04/dark-chocolate-coconut-macaroons/
eggnog florentines,nutty caramel crisps,https://smittenkitchen.com/2013/12/eggnog-florentines/
fig newtons,soft jammy buttery,https://smittenkitchen.com/2018/04/fig-newtons/
gingerbread biscotti,crunchy spicy holiday,https://smittenkitchen.com/2014/12/gingerbread-biscotti/
gingersnaps,soft spicy holiday,https://smittenkitchen.com/2011/11/gingersnaps/
hazelnut chocolate thumbprint cookies,crisp chewy dense,https://smittenkitchen.com/2010/03/hazelnut-chocolate-thumbprint-cookies/
iced oatmeal cookies,floury butter indulgent,https://smittenkitchen.com/2010/12/iced-oatmeal-cookies/
key lime meltaways,soft tart sweet,https://smittenkitchen.com/2008/08/key-lime-meltaways/
lemon bars,soft bright sweet tart,https://smittenkitchen.com/2008/01/lemon-bars/
peach shortbread,sweet summer soft,https://smittenkitchen.com/2010/09/peach-shortbread/
peanut butter cookies,salty buttery soft,https://smittenkitchen.com/2007/12/peanut-butter-cookies/
potato chip cookies,salty nutty crunchy,https://smittenkitchen.com/2012/01/potato-chip-cookies/
raspberry coconut macaroons,tropical summer crunchy,https://smittenkitchen.com/2012/03/raspberry-coconut-macaroons/
tiny poppy seed taschen,citrus vanilla brown butter,https://smittenkitchen.com/2011/03/tiny-poppy-seed-taschen/
toasted coconut shortbread,golden sweet,https://smittenkitchen.com/2009/02/toasted-coconut-shortbread/
